"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2019,1,43,"로꼬 (LOCO)","시간이 들겠지","시간이 들겠지","시간이 들겠지","",7,0,0
2019,1,44,"펀치 (Punch)","헤어지는 중","헤어지는 중","헤어지는 중","",6,0,0
2019,1,46,"노을","별","너는 어땠을까","너는 어땠을까","",7,0,0
2019,1,47,"폴킴","비","비","비","",1,0,0
2019,1,50,"자이언티(Zion.T)","ZZZ","멋지게 인사하는 법","멋지게 인사하는 법","",10,0,0
2019,1,51,"BTS","LOVE YOURSELF 轉 `Tear`","FAKE LOVE","","FAKE LOVE",0,9,1
2019,1,52,"로이킴","그때 헤어지면 돼","그때 헤어지면 돼","그때 헤어지면 돼","",9,0,0
2019,1,53,"Red Velvet","RBB - The 5th Mini Album","RBB (Really Bad Boy)","","RBB",0,3,1
2019,1,54,"먼데이 키즈 (Monday Kiz)","가을 안부","가을 안부","가을 안부","",5,0,0
2019,1,55,"다비치","뷰티 인사이드 OST Part.3","꿈처럼 내린","꿈처럼 내린","",6,0,0
2019,1,56,"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)","Dingo X Indigo Music","flex","","flex",0,4,1
2019,1,58,"비투비 (BTOB)","THIS IS US","너 없인 안 된다","너 없인 안 된다","",9,0,0
2019,1,60,"오반 (OVAN)","행복","행복","행복","",2,0,0
2019,1,61,"폴킴","WHY : 당신이 연인에게 차인 진짜 이유 OST - Part.3","사랑 알 수 없나봐","사랑 알 수 없나봐","",10,0,0
2019,1,62,"엠씨더맥스 (M.C The Max)","Circular","시간을 견디면","시간을 견디면","",7,0,0
2019,1,63,"볼빨간사춘기 (BOL4)","Red Diary Page.2","여행","여행","",2,0,0
2019,1,66,"iKON","NEW KIDS : THE FINAL","이별길 (GOODBYE ROAD)","이별길","",3,0,1
2019,1,67,"수퍼비 (SUPERBEE)","쇼미더머니 777 Semi Final","수퍼비와","수퍼비와","",4,0,0
2019,1,69,"iKON","Return","사랑을 했다 (LOVE SCENARIO)","사랑을 했다","",6,0,1
2019,1,72,"EXID","알러뷰","알러뷰","알러뷰","",3,0,0
2019,1,74,"BTS","LOVE YOURSELF 結 `Answer`","I`m Fine","","I m Fine",0,8,1
2019,1,75,"웬디 (WENDY)","뷰티 인사이드 OST Part.6","Goodbye","","Goodbye",0,7,1
2019,1,76,"김범수","첫눈처럼 너에게 가겠다","첫눈처럼 너에게 가겠다","첫눈처럼 너에게 가겠다","",12,0,0
2019,1,77,"Fitz & The Tantrums","Fitz and The Tantrums (Deluxe)","HandClap","","HandClap",0,8,1
