year,time,rank,song_title,artist,album
2019,1,54,가을 안부,먼데이 키즈 (Monday Kiz),가을 안부
2019,1,55,꿈처럼 내린,다비치,뷰티 인사이드 OST Part.3
2019,1,56,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",Dingo X Indigo Music
2019,1,57,봄날,BTS,YOU NEVER WALK ALONE
2019,1,58,너 없인 안 된다,비투비 (BTOB),THIS IS US
2019,1,59,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9
2019,1,60,행복,오반 (OVAN),행복
2019,1,61,사랑 알 수 없나봐,폴킴,WHY : 당신이 연인에게 차인 진짜 이유 OST - Part.3
2019,1,62,시간을 견디면,엠씨더맥스 (M.C The Max),Circular
2019,1,63,여행,볼빨간사춘기 (BOL4),Red Diary Page.2
2019,1,64,그리워하다,비투비 (BTOB),Brother Act.
2019,1,65,Bohemian Rhapsody,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST)
2019,1,66,이별길 (GOODBYE ROAD),iKON,NEW KIDS : THE FINAL
2019,1,67,수퍼비와 (Feat. BewhY) (Prod. BewhY),수퍼비 (SUPERBEE),쇼미더머니 777 Semi Final
2019,1,68,선물,멜로망스(Melomance),Moonlight
2019,1,69,사랑을 했다 (LOVE SCENARIO),iKON,Return
2019,1,70,DNA,BTS,LOVE YOURSELF 承 `Her`
2019,1,71,그날처럼,장덕철,그날처럼
2019,1,72,알러뷰,EXID,알러뷰
2019,1,73,에너제틱 (Energetic),Wanna One (워너원),1X1=1(TO BE ONE)
2019,1,74,I`m Fine,BTS,LOVE YOURSELF 結 `Answer`
2019,1,75,Goodbye,웬디 (WENDY),뷰티 인사이드 OST Part.6
2019,1,76,첫눈처럼 너에게 가겠다 (Prod. 로코베리),김범수,첫눈처럼 너에게 가겠다
2019,1,77,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe)
2019,1,78,트라우마 (Trauma),EXO,LOVE SHOT - The 5th Album Repackage
2019,1,79,Beautiful,Wanna One (워너원),1-1=0 (NOTHING WITHOUT YOU)
2019,1,80,오답 (Feat. 이민혁 of BTOB),김나영,오답
2019,1,81,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
2019,1,82,Forever Young,BLACKPINK,SQUARE UP
2019,1,83,Shape of You,XXXXX,÷ (Deluxe)
2019,1,84,잘 지내요,정승환,라이프 OST Part 6
2019,1,85,Save (Feat. 팔로알토) (Prod. 코드 쿤스트),루피(Loopy),쇼미더머니 777 Episode 3
2019,1,86,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
2019,1,87,Euphoria,BTS,LOVE YOURSELF 結 `Answer`
2019,1,88,너나 해 (Egotistic),마마무 (Mamamoo),RED MOON
2019,1,89,그걸로 나는 충분해요,엠씨더맥스 (M.C The Max),Circular
2019,1,90,Wait,EXO,LOVE SHOT - The 5th Album Repackage
2019,1,91,Havana (Feat. Young Thug),XXXXX,Camila
2019,1,92,주지마,"로꼬 (LOCO), 화사",건반 위의 하이에나 Part.4
2019,1,93,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part.2
